Ntrow_Ntcol;Dimension;Performance
1_2;5;0.00
2_1;5;0.01
1_2;10;0.07
2_1;10;0.07
1_2;15;0.20
2_1;15;0.23
1_2;20;0.41
2_1;20;0.42
1_2;25;0.59
2_1;25;0.64
1_2;30;0.78
2_1;30;0.81
1_2;35;0.86
2_1;35;0.95
1_2;40;1.01
2_1;40;1.04
1_2;45;1.32
2_1;45;1.10
1_2;50;1.13
2_1;50;1.45
1_2;55;1.15
2_1;55;1.19
1_2;60;1.20
2_1;60;1.22
1_2;65;1.22
2_1;65;1.13
1_2;70;1.22
2_1;70;1.18
1_2;75;1.69
2_1;75;1.18
1_2;80;1.23
2_1;80;1.19
1_2;85;0.99
2_1;85;1.04
1_2;90;1.22
2_1;90;1.23
1_2;95;1.52
2_1;95;1.14
1_2;100;1.73
2_1;100;1.10
1_2;105;1.19
2_1;105;1.27
1_2;110;1.34
2_1;110;1.45
1_2;115;1.54
2_1;115;1.66
1_2;120;1.11
2_1;120;2.11
1_2;125;1.96
2_1;125;2.03
1_2;130;1.09
2_1;130;1.64
1_2;135;1.55
2_1;135;1.83
1_2;140;1.30
2_1;140;1.96
1_2;145;2.01
2_1;145;1.67
1_2;150;2.04
2_1;150;1.92
1_2;155;1.38
2_1;155;2.38
1_2;160;1.90
2_1;160;2.22
1_2;165;2.09
2_1;165;2.45
1_2;170;1.88
2_1;170;2.12
1_2;175;2.00
2_1;175;2.19
1_2;180;2.12
2_1;180;2.11
1_2;185;2.10
2_1;185;1.81
1_2;190;2.26
2_1;190;2.48
1_2;195;2.27
2_1;195;1.98
1_2;200;2.03
2_1;200;2.27
1_2;205;2.19
2_1;205;2.11
1_2;210;1.90
2_1;210;2.37
1_2;215;2.04
2_1;215;2.10
1_2;220;1.94
2_1;220;2.13
1_2;225;1.91
2_1;225;2.28
1_2;230;2.06
2_1;230;1.76
1_2;235;2.16
2_1;235;2.06
1_2;240;1.81
2_1;240;2.00
1_2;245;2.01
2_1;245;2.08
1_2;250;1.95
2_1;250;2.26
1_2;255;2.03
2_1;255;2.31
1_2;260;2.13
2_1;260;2.19
1_2;265;2.05
2_1;265;2.33
1_2;270;2.12
2_1;270;2.29
1_2;275;2.43
2_1;275;2.45
1_2;280;2.17
2_1;280;2.34
1_2;285;2.32
2_1;285;2.59
1_2;290;2.42
2_1;290;2.33
1_2;295;2.33
2_1;295;2.35
1_2;300;2.23
2_1;300;2.43
1_2;305;2.41
2_1;305;2.60
1_2;310;2.21
2_1;310;2.26
1_2;315;2.08
2_1;315;2.29
1_2;320;2.46
2_1;320;2.42
1_2;325;2.12
2_1;325;2.30
1_2;330;2.50
2_1;330;2.38
1_2;335;2.19
2_1;335;2.25
1_2;340;2.15
2_1;340;2.57
1_2;345;2.44
2_1;345;2.45
1_2;350;2.39
2_1;350;2.50
1_2;355;2.37
2_1;355;2.46
1_2;360;2.24
2_1;360;2.26
1_2;365;2.56
2_1;365;2.61
1_2;370;2.46
2_1;370;2.31
1_2;375;2.50
2_1;375;2.56
1_2;380;2.56
2_1;380;2.63
1_2;385;2.25
2_1;385;2.62
1_2;390;2.55
2_1;390;2.64
1_2;395;2.40
2_1;395;2.63
1_2;400;2.56
2_1;400;2.44
1_2;405;2.25
2_1;405;2.36
1_2;410;2.37
2_1;410;2.51
1_2;415;2.35
2_1;415;2.50
1_2;420;2.44
2_1;420;2.50
1_2;425;2.40
2_1;425;2.64
1_2;430;2.41
2_1;430;2.60
1_2;435;2.45
2_1;435;2.36
1_2;440;2.53
2_1;440;2.62
1_2;445;2.58
2_1;445;2.64
1_2;450;2.58
2_1;450;2.65
1_2;455;2.59
2_1;455;2.53
1_2;460;2.51
2_1;460;2.55
1_2;465;2.58
2_1;465;2.64
1_2;470;2.59
2_1;470;2.65
1_2;475;2.58
2_1;475;2.62
1_2;480;2.52
2_1;480;2.47
1_2;485;2.57
2_1;485;2.57
1_2;490;1.97
2_1;490;2.53
1_2;495;1.85
2_1;495;2.56
1_2;500;1.78
2_1;500;2.56
