Ntrow_Ntcol;Dimension;Performance
1_8;5;0.00
8_1;5;0.00
2_4;5;0.00
4_2;5;0.00
1_8;10;0.01
8_1;10;0.01
2_4;10;0.01
4_2;10;0.01
1_8;15;0.04
8_1;15;0.04
2_4;15;0.04
4_2;15;0.04
1_8;20;0.09
8_1;20;0.09
2_4;20;0.09
4_2;20;0.07
1_8;25;0.12
8_1;25;0.15
2_4;25;0.16
4_2;25;0.15
1_8;30;0.24
8_1;30;0.26
2_4;30;0.25
4_2;30;0.25
1_8;35;0.31
8_1;35;0.35
2_4;35;0.33
4_2;35;0.35
1_8;40;0.42
8_1;40;0.46
2_4;40;0.44
4_2;40;0.48
1_8;45;0.53
8_1;45;0.59
2_4;45;0.54
4_2;45;0.58
1_8;50;0.61
8_1;50;0.65
2_4;50;0.61
4_2;50;0.66
1_8;55;0.67
8_1;55;0.70
2_4;55;0.70
4_2;55;0.99
1_8;60;0.65
8_1;60;0.80
2_4;60;0.71
4_2;60;0.77
1_8;65;0.73
8_1;65;1.16
2_4;65;0.85
4_2;65;0.82
1_8;70;0.77
8_1;70;0.83
2_4;70;0.86
4_2;70;0.89
1_8;75;0.90
8_1;75;1.02
2_4;75;1.03
4_2;75;1.04
1_8;80;1.09
8_1;80;0.85
2_4;80;0.94
4_2;80;0.91
1_8;85;1.14
8_1;85;1.42
2_4;85;1.42
4_2;85;1.45
1_8;90;1.33
8_1;90;1.08
2_4;90;1.45
4_2;90;2.03
1_8;95;0.85
8_1;95;1.27
2_4;95;1.51
4_2;95;1.24
1_8;100;1.39
8_1;100;1.34
2_4;100;1.79
4_2;100;1.32
1_8;105;1.74
8_1;105;1.58
2_4;105;1.45
4_2;105;1.01
1_8;110;1.71
8_1;110;1.75
2_4;110;1.65
4_2;110;1.61
1_8;115;1.48
8_1;115;1.61
2_4;115;1.52
4_2;115;1.02
1_8;120;1.29
8_1;120;1.63
2_4;120;2.12
4_2;120;2.08
1_8;125;1.67
8_1;125;1.63
2_4;125;2.11
4_2;125;1.37
1_8;130;1.53
8_1;130;1.67
2_4;130;1.60
4_2;130;2.48
1_8;135;1.49
8_1;135;1.91
2_4;135;2.28
4_2;135;1.32
1_8;140;1.26
8_1;140;2.42
2_4;140;1.36
4_2;140;1.25
1_8;145;2.33
8_1;145;2.04
2_4;145;1.78
4_2;145;1.74
1_8;150;1.46
8_1;150;1.72
2_4;150;1.37
4_2;150;2.02
1_8;155;1.95
8_1;155;1.86
2_4;155;1.91
4_2;155;2.14
1_8;160;1.87
8_1;160;1.86
2_4;160;1.83
4_2;160;1.50
1_8;165;1.77
8_1;165;2.12
2_4;165;2.05
4_2;165;2.05
1_8;170;1.61
8_1;170;2.00
2_4;170;2.17
4_2;170;1.60
1_8;175;1.91
8_1;175;1.71
2_4;175;2.44
4_2;175;2.37
1_8;180;1.67
8_1;180;2.87
2_4;180;2.27
4_2;180;1.85
1_8;185;1.98
8_1;185;2.10
2_4;185;2.75
4_2;185;2.16
1_8;190;2.31
8_1;190;2.30
2_4;190;2.11
4_2;190;2.15
1_8;195;1.94
